rank,title,year,rating,link
90,2001: A Space Odyssey,1968,8.3,https://www.imdb.com/title/tt0062622/
91,Vertigo,1958,8.3,https://www.imdb.com/title/tt0052357/
92,Requiem for a Dream,2000,8.3,https://www.imdb.com/title/tt0180093/
93,M - Eine Stadt sucht einen Mörder,1931,8.3,https://www.imdb.com/title/tt0022100/
94,Dangal,2016,8.3,https://www.imdb.com/title/tt5074352/
95,Capharnaüm,2018,8.3,https://www.imdb.com/title/tt8267604/
96,Eternal Sunshine of the Spotless Mind,2004,8.3,https://www.imdb.com/title/tt0338013/
97,Citizen Kane,1941,8.3,https://www.imdb.com/title/tt0033467/
98,Jagten,2012,8.3,https://www.imdb.com/title/tt2106476/
99,Full Metal Jacket,1987,8.3,https://www.imdb.com/title/tt0093058/
100,Ladri di biciclette,1948,8.2,https://www.imdb.com/title/tt0040522/
101,North by Northwest,1959,8.2,https://www.imdb.com/title/tt0053125/
102,A Clockwork Orange,1971,8.2,https://www.imdb.com/title/tt0066921/
103,The Kid,1921,8.2,https://www.imdb.com/title/tt0012349/
104,Snatch,2000,8.2,https://www.imdb.com/title/tt0208092/
105,Singin' in the Rain,1952,8.2,https://www.imdb.com/title/tt0045152/
106,Scarface,1983,8.2,https://www.imdb.com/title/tt0086250/
107,Taxi Driver,1976,8.2,https://www.imdb.com/title/tt0075314/
108,Amélie,2001,8.2,https://www.imdb.com/title/tt0211915/
109,Lawrence of Arabia,1962,8.2,https://www.imdb.com/title/tt0056172/
110,Toy Story 3,2010,8.2,https://www.imdb.com/title/tt0435761/
111,The Sting,1973,8.2,https://www.imdb.com/title/tt0070735/
112,Ikiru,1952,8.2,https://www.imdb.com/title/tt0044741/
113,Metropolis,1927,8.2,https://www.imdb.com/title/tt0017136/
114,Per qualche dollaro in più,1965,8.2,https://www.imdb.com/title/tt0059578/
115,Jodaeiye Nader az Simin,2011,8.2,https://www.imdb.com/title/tt1832382/
116,Double Indemnity,1944,8.2,https://www.imdb.com/title/tt0036775/
117,The Apartment,1960,8.2,https://www.imdb.com/title/tt0053604/
118,Incendies,2010,8.2,https://www.imdb.com/title/tt1255953/
119,To Kill a Mockingbird,1962,8.2,https://www.imdb.com/title/tt0056592/
120,Indiana Jones and the Last Crusade,1989,8.2,https://www.imdb.com/title/tt0097576/
121,Up,2009,8.2,https://www.imdb.com/title/tt1049413/
122,L.A. Confidential,1997,8.2,https://www.imdb.com/title/tt0119488/
123,Heat,1995,8.2,https://www.imdb.com/title/tt0113277/
124,Monty Python and the Holy Grail,1975,8.2,https://www.imdb.com/title/tt0071853/
125,Die Hard,1988,8.2,https://www.imdb.com/title/tt0095016/
126,Rashômon,1950,8.2,https://www.imdb.com/title/tt0042876/
127,Yôjinbô,1961,8.2,https://www.imdb.com/title/tt0055630/
128,Idi i smotri,1985,8.2,https://www.imdb.com/title/tt0091251/
129,Batman Begins,2005,8.2,https://www.imdb.com/title/tt0372784/
130,Bacheha-Ye aseman,1997,8.2,https://www.imdb.com/title/tt0118849/
131,Green Book,2018,8.2,https://www.imdb.com/title/tt6966692/
132,Der Untergang,2004,8.2,https://www.imdb.com/title/tt0363163/
133,Unforgiven,1992,8.2,https://www.imdb.com/title/tt0105695/
134,Some Like It Hot,1959,8.2,https://www.imdb.com/title/tt0053291/
135,Ran,1985,8.2,https://www.imdb.com/title/tt0089881/
136,Hauru no ugoku shiro,2004,8.2,https://www.imdb.com/title/tt0347149/
137,The Great Escape,1963,8.2,https://www.imdb.com/title/tt0057115/
138,All About Eve,1950,8.2,https://www.imdb.com/title/tt0042192/
139,A Beautiful Mind,2001,8.2,https://www.imdb.com/title/tt0268978/
140,Casino,1995,8.2,https://www.imdb.com/title/tt0112641/
141,Pan's Labyrinth,2006,8.2,https://www.imdb.com/title/tt0457430/
142,El secreto de sus ojos,2009,8.2,https://www.imdb.com/title/tt1305806/
143,Tonari no Totoro,1988,8.2,https://www.imdb.com/title/tt0096283/
144,The Wolf of Wall Street,2013,8.2,https://www.imdb.com/title/tt0993846/
145,"Lock, Stock and Two Smoking Barrels",1998,8.2,https://www.imdb.com/title/tt0120735/
146,Raging Bull,1980,8.2,https://www.imdb.com/title/tt0081398/
147,The Treasure of the Sierra Madre,1948,8.1,https://www.imdb.com/title/tt0040897/
148,Judgment at Nuremberg,1961,8.1,https://www.imdb.com/title/tt0055031/
149,There Will Be Blood,2007,8.1,https://www.imdb.com/title/tt0469494/
150,Babam ve Oglum,2005,8.1,https://www.imdb.com/title/tt0476735/
151,"Three Billboards Outside Ebbing, Missouri",2017,8.1,https://www.imdb.com/title/tt5027774/
152,The Gold Rush,1925,8.1,https://www.imdb.com/title/tt0015864/
153,Dial M for Murder,1954,8.1,https://www.imdb.com/title/tt0046912/
154,Chinatown,1974,8.1,https://www.imdb.com/title/tt0071315/
155,V for Vendetta,2005,8.1,https://www.imdb.com/title/tt0434409/
156,Det sjunde inseglet,1957,8.1,https://www.imdb.com/title/tt0050976/
157,No Country for Old Men,2007,8.1,https://www.imdb.com/title/tt0477348/
158,Inside Out,2015,8.1,https://www.imdb.com/title/tt2096673/
159,Shutter Island,2010,8.1,https://www.imdb.com/title/tt1130884/
160,Warrior,2011,8.1,https://www.imdb.com/title/tt1291584/
161,The Elephant Man,1980,8.1,https://www.imdb.com/title/tt0080678/
162,Trainspotting,1996,8.1,https://www.imdb.com/title/tt0117951/
163,The Sixth Sense,1999,8.1,https://www.imdb.com/title/tt0167404/
164,The Thing,1982,8.1,https://www.imdb.com/title/tt0084787/
165,Jurassic Park,1993,8.1,https://www.imdb.com/title/tt0107290/
166,Gone with the Wind,1939,8.1,https://www.imdb.com/title/tt0031381/
167,Room,2015,8.1,https://www.imdb.com/title/tt3170832/
168,Smultronstället,1957,8.1,https://www.imdb.com/title/tt0050986/
169,Blade Runner,1982,8.1,https://www.imdb.com/title/tt0083658/
170,Finding Nemo,2003,8.1,https://www.imdb.com/title/tt0266543/
171,The Bridge on the River Kwai,1957,8.1,https://www.imdb.com/title/tt0050212/
172,Stalker,1979,8.1,https://www.imdb.com/title/tt0079944/
173,The Truman Show,1998,8.1,https://www.imdb.com/title/tt0120382/
174,On the Waterfront,1954,8.1,https://www.imdb.com/title/tt0047296/
175,The Third Man,1949,8.1,https://www.imdb.com/title/tt0041959/
176,Kill Bill: Vol. 1,2003,8.1,https://www.imdb.com/title/tt0266697/
177,Fargo,1996,8.1,https://www.imdb.com/title/tt0116282/
178,Gran Torino,2008,8.1,https://www.imdb.com/title/tt1205489/
179,Tôkyô monogatari,1953,8.1,https://www.imdb.com/title/tt0046438/
180,The Deer Hunter,1978,8.1,https://www.imdb.com/title/tt0077416/
181,Salinui chueok,2003,8.1,https://www.imdb.com/title/tt0353969/
182,Relatos salvajes,2014,8.1,https://www.imdb.com/title/tt3011894/
183,Klaus,2019,8.1,https://www.imdb.com/title/tt4729430/
184,Eskiya,1996,8.1,https://www.imdb.com/title/tt0116231/
185,Andhadhun,2018,8.1,https://www.imdb.com/title/tt8108198/
186,Mary and Max,2009,8.1,https://www.imdb.com/title/tt0978762/
187,The Big Lebowski,1998,8.1,https://www.imdb.com/title/tt0118715/
188,In the Name of the Father,1993,8.1,https://www.imdb.com/title/tt0107207/
189,Gone Girl,2014,8.1,https://www.imdb.com/title/tt2267998/
190,Hacksaw Ridge,2016,8.1,https://www.imdb.com/title/tt2119532/
191,The Grand Budapest Hotel,2014,8.1,https://www.imdb.com/title/tt2278388/
192,Persona,1966,8.1,https://www.imdb.com/title/tt0060827/
193,To Be or Not to Be,1942,8.1,https://www.imdb.com/title/tt0035446/
194,Before Sunrise,1995,8.1,https://www.imdb.com/title/tt0112471/
195,Ford v. Ferrari,2019,8.1,https://www.imdb.com/title/tt1950186/
196,Catch Me If You Can,2002,8.1,https://www.imdb.com/title/tt0264464/
197,The General,1926,8.1,https://www.imdb.com/title/tt0017925/
198,How to Train Your Dragon,2010,8.1,https://www.imdb.com/title/tt0892769/
199,Mr. Smith Goes to Washington,1939,8.1,https://www.imdb.com/title/tt0031679/
200,Sherlock Jr.,1924,8.1,https://www.imdb.com/title/tt0015324/
201,Prisoners,2013,8.1,https://www.imdb.com/title/tt1392214/
202,12 Years a Slave,2013,8.1,https://www.imdb.com/title/tt2024544/
203,Mad Max: Fury Road,2015,8.1,https://www.imdb.com/title/tt1392190/
204,Cool Hand Luke,1967,8.1,https://www.imdb.com/title/tt0061512/
205,Barry Lyndon,1975,8.1,https://www.imdb.com/title/tt0072684/
206,Network,1976,8.1,https://www.imdb.com/title/tt0074958/
207,Le salaire de la peur,1953,8.1,https://www.imdb.com/title/tt0046268/
208,Stand by Me,1986,8.1,https://www.imdb.com/title/tt0092005/
209,Into the Wild,2007,8.1,https://www.imdb.com/title/tt0758758/
210,Million Dollar Baby,2004,8.1,https://www.imdb.com/title/tt0405159/
211,Hachi: A Dog's Tale,2009,8.1,https://www.imdb.com/title/tt1028532/
212,Life of Brian,1979,8.1,https://www.imdb.com/title/tt0079470/
213,Ben-Hur,1959,8.1,https://www.imdb.com/title/tt0052618/
214,Platoon,1986,8.1,https://www.imdb.com/title/tt0091763/
215,Rush,2013,8.1,https://www.imdb.com/title/tt1979320/
216,Dead Poets Society,1989,8.0,https://www.imdb.com/title/tt0097165/
217,Logan,2017,8.0,https://www.imdb.com/title/tt3315342/
218,Harry Potter and the Deathly Hallows: Part 2,2011,8.0,https://www.imdb.com/title/tt1201607/
219,La passion de Jeanne d'Arc,1928,8.0,https://www.imdb.com/title/tt0019254/
220,Andrei Rublev,1966,8.0,https://www.imdb.com/title/tt0060107/
221,Les quatre cents coups,1959,8.0,https://www.imdb.com/title/tt0053198/
222,Hotel Rwanda,2004,8.0,https://www.imdb.com/title/tt0395169/
223,Amores perros,2000,8.0,https://www.imdb.com/title/tt0245712/
224,Ah-ga-ssi,2016,8.0,https://www.imdb.com/title/tt4016934/
225,Spotlight,2015,8.0,https://www.imdb.com/title/tt1895587/
226,Rang De Basanti,2006,8.0,https://www.imdb.com/title/tt0405508/
227,Kaze no tani no Naushika,1984,8.0,https://www.imdb.com/title/tt0087544/
228,Rocky,1976,8.0,https://www.imdb.com/title/tt0075148/
229,Rebecca,1940,8.0,https://www.imdb.com/title/tt0032976/
230,"Monsters, Inc.",2001,8.0,https://www.imdb.com/title/tt0198781/
231,La haine,1995,8.0,https://www.imdb.com/title/tt0113247/
232,Portrait de la jeune fille en feu,2019,8.0,https://www.imdb.com/title/tt8613070/
233,It Happened One Night,1934,8.0,https://www.imdb.com/title/tt0025316/
234,Gangs of Wasseypur,2012,8.0,https://www.imdb.com/title/tt1954470/
235,Faa yeung nin wa,2000,8.0,https://www.imdb.com/title/tt0118694/
236,Before Sunset,2004,8.0,https://www.imdb.com/title/tt0381681/
237,"Paris, Texas",1984,8.0,https://www.imdb.com/title/tt0087884/
238,The Help,2011,8.0,https://www.imdb.com/title/tt1454029/
239,The Princess Bride,1987,8.0,https://www.imdb.com/title/tt0093779/
240,Contratiempo,2016,8.0,https://www.imdb.com/title/tt4857264/
241,Drishyam,2015,8.0,https://www.imdb.com/title/tt4430212/
242,The Terminator,1984,8.0,https://www.imdb.com/title/tt0088247/
243,Kis Uykusu,2014,8.0,https://www.imdb.com/title/tt2758880/
244,Butch Cassidy and the Sundance Kid,1969,8.0,https://www.imdb.com/title/tt0064115/
245,Ace in the Hole,1951,8.0,https://www.imdb.com/title/tt0043338/
246,Lagaan: Once Upon a Time in India,2001,8.0,https://www.imdb.com/title/tt0169102/
247,Fanny och Alexander,1982,8.0,https://www.imdb.com/title/tt0083922/
248,Aladdin,1992,8.0,https://www.imdb.com/title/tt0103639/
249,Mandariinid,2013,8.0,https://www.imdb.com/title/tt2991224/
250,Hera Pheri,2000,8.0,https://www.imdb.com/title/tt0242519/
